RUN	src.test.scala.hello.LoadTest	loadtest	1581949305049	 	3.2.1
USER	My-first-Scenario	2	START	1581949307058	1581949307058
USER	My-first-Scenario	3	START	1581949307058	1581949307058
USER	My-first-Scenario	1	START	1581949307054	1581949307054
REQUEST	3		GetHelloWorld	1581949307164	1581949308073	OK	 
REQUEST	1		GetHelloWorld	1581949307166	1581949308119	OK	 
REQUEST	2		GetHelloWorld	1581949307157	1581949308081	OK	 
USER	My-first-Scenario	1	END	1581949307054	1581949308134
USER	My-first-Scenario	2	END	1581949307058	1581949308137
USER	My-first-Scenario	3	END	1581949307058	1581949308141
