RUN	src.test.scala.hello.LoadTest	loadtest	1580915818933	 	3.2.1
USER	My-first-Scenario	3	START	1580915821104	1580915821104
USER	My-first-Scenario	1	START	1580915821085	1580915821085
USER	My-first-Scenario	2	START	1580915821104	1580915821104
REQUEST	3		GetHelloWorld	1580915821188	1580915821346	OK	 
REQUEST	1		GetHelloWorld	1580915821188	1580915821336	OK	 
REQUEST	2		GetHelloWorld	1580915821187	1580915821319	OK	 
USER	My-first-Scenario	3	END	1580915821104	1580915821370
USER	My-first-Scenario	1	END	1580915821085	1580915821373
USER	My-first-Scenario	2	END	1580915821104	1580915821373
