RUN	src.test.scala.hello.LoadTest	loadtest	1581505031991	 	3.2.1
USER	My-first-Scenario	2	START	1581505034058	1581505034058
USER	My-first-Scenario	1	START	1581505034059	1581505034059
USER	My-first-Scenario	3	START	1581505034060	1581505034060
REQUEST	3		GetHelloWorld	1581505034128	1581505034336	OK	 
REQUEST	1		GetHelloWorld	1581505034128	1581505034335	OK	 
REQUEST	2		GetHelloWorld	1581505034127	1581505034335	OK	 
USER	My-first-Scenario	1	END	1581505034059	1581505034376
USER	My-first-Scenario	3	END	1581505034060	1581505034379
USER	My-first-Scenario	2	END	1581505034058	1581505034380
