RUN	src.test.scala.hello.LoadTest	loadtest	1581000723501	 	3.2.1
USER	My-first-Scenario	1	START	1581000725764	1581000725764
USER	My-first-Scenario	2	START	1581000725764	1581000725764
USER	My-first-Scenario	3	START	1581000725764	1581000725764
REQUEST	3		GetHelloWorld	1581000725857	1581000726562	OK	 
REQUEST	1		GetHelloWorld	1581000725857	1581000726562	OK	 
REQUEST	2		GetHelloWorld	1581000725860	1581000726562	OK	 
USER	My-first-Scenario	2	END	1581000725764	1581000726655
USER	My-first-Scenario	3	END	1581000725764	1581000726658
USER	My-first-Scenario	1	END	1581000725764	1581000726659
