RUN	src.test.scala.hello.LoadTest	loadtest	1580990147336	 	3.2.1
USER	My-first-Scenario	1	START	1580990149653	1580990149653
USER	My-first-Scenario	3	START	1580990149654	1580990149654
USER	My-first-Scenario	2	START	1580990149654	1580990149654
REQUEST	1		GetHelloWorld	1580990149741	1580990150328	OK	 
REQUEST	3		GetHelloWorld	1580990149740	1580990150311	OK	 
USER	My-first-Scenario	3	END	1580990149654	1580990150338
REQUEST	2		GetHelloWorld	1580990149740	1580990150295	OK	 
USER	My-first-Scenario	1	END	1580990149653	1580990150341
USER	My-first-Scenario	2	END	1580990149654	1580990150341
