RUN	src.test.scala.hello.LoadTest	loadtest	1581001585554	 	3.2.1
USER	My-first-Scenario	3	START	1581001588401	1581001588401
USER	My-first-Scenario	2	START	1581001588401	1581001588401
USER	My-first-Scenario	1	START	1581001588401	1581001588401
REQUEST	3		GetHelloWorld	1581001588504	1581001588662	OK	 
REQUEST	2		GetHelloWorld	1581001588504	1581001588662	OK	 
REQUEST	1		GetHelloWorld	1581001588504	1581001588662	OK	 
USER	My-first-Scenario	1	END	1581001588401	1581001588704
USER	My-first-Scenario	2	END	1581001588401	1581001588704
USER	My-first-Scenario	3	END	1581001588401	1581001588708
