RUN	src.test.scala.hello.FirstLoginSimulation	firstloginsimulation	1580718971984	 	3.2.1
USER	LoginSimulation	2	START	1580718973904	1580718973904
USER	LoginSimulation	3	START	1580718973904	1580718973904
USER	LoginSimulation	1	START	1580718973903	1580718973903
REQUEST	2		request_0	1580718973977	1580718974284	OK	 
REQUEST	3		request_0	1580718973978	1580718974269	OK	 
USER	LoginSimulation	3	END	1580718973904	1580718974303
USER	LoginSimulation	2	END	1580718973904	1580718974303
REQUEST	1		request_0	1580718973980	1580718974515	OK	 
USER	LoginSimulation	1	END	1580718973903	1580718974516
